qid,category,category_1,category_2,category_3,question,answer_format,example_answer,prompt,reference_answer,response,judge_score,judge_score_norm,judge_rationale,skipped,error
BV1SNw5eXEDJ_00-00-00_00-00-24,inferential,music,Perception Layer,Music Theory,What phonetic phenomenon is mimicked in the audio using bamboo flute techniques,a phonetic phenomenon name,"Flutter-tongue technique, mimicking uvular sound","Listen to the audio and answer the question. Be specific and ground your answer in what you hear.
Answer format: a phonetic phenomenon name.
Example of a validly-formatted answer (shows the expected form only — it is NOT the correct answer): ""Flutter-tongue technique, mimicking uvular sound""

Question: What phonetic phenomenon is mimicked in the audio using bamboo flute techniques","Flutter-tongue technique, mimicking rolled 'r'",Mimicry of guttural vocalization through breath control on flute,2,0.5,The model's answer mentions breath control but does not identify the specific flutter-tongue technique or the rolled 'r' sound.,,
BV1EPs9eTE6W_00-01-29_00-01-59,contextual,music,Cultural Layer,Culture of Speaker,Who is the song expressing from the perspective of,a historical figure's role and migration details,Missionary emigrating from the USA to China in the late 19th century,"Listen to the audio and answer the question. Be specific and ground your answer in what you hear.
Answer format: a historical figure's role and migration details.
Example of a validly-formatted answer (shows the expected form only — it is NOT the correct answer): ""Missionary emigrating from the USA to China in the late 19th century""

Question: Who is the song expressing from the perspective of",Chinese laborer emigrating from China to the USA in the late 19th century,"A Chinese migrant leaving his homeland, heading westward across the Pacific Ocean toward America, as he reflects on memories of home while traveling through San Francisco Bay Area ports.",3,0.75,The model's answer captures the essence of a Chinese migrant leaving China for the USA but adds details not present in the reference answer.,,
BV1kx411m7UN_00-02-45_00-03-15,contextual,music,Semantic Layer,Content Analysis,What kind of song is this?,a contextual fact (a proper noun phrase),Tokyo landscape lyrical song,"Listen to the audio and answer the question. Be specific and ground your answer in what you hear.
Answer format: a contextual fact (a proper noun phrase).
Example of a validly-formatted answer (shows the expected form only — it is NOT the correct answer): ""Tokyo landscape lyrical song""

Question: What kind of song is this?",Peking University campus song,opera aria,0,0.0,The model's answer 'opera aria' is completely unrelated to the reference answer 'Peking University campus song'.,,
BV1KK411H7aR_00-01-00_00-01-30,inferential,music,Semantic Layer,Content Analysis,Why do these two people have an intense argument,a reason (a 'because…' clause),Competition over economic interests,"Listen to the audio and answer the question. Be specific and ground your answer in what you hear.
Answer format: a reason (a 'because…' clause).
Example of a validly-formatted answer (shows the expected form only — it is NOT the correct answer): ""Competition over economic interests""

Question: Why do these two people have an intense argument","Conflict of values between upholding law and human relationships (e.g., taking care of Cosette)",Because they disagree about their duties and responsibilities toward the law,2,0.5,The model's answer captures part of the conflict but misses the key element of the conflict between upholding the law and human relationships.,,
BV1fZ4y1W7ZU_multi_segment,perceptual,music,Signal Layer,Acoustic Quality Analysis,What issue does the audio demonstrate,a description of audio quality issue,"The audio quality of the second segment is poor, with clipping distortion","Listen to the audio and answer the question. Be specific and ground your answer in what you hear.
Answer format: a description of audio quality issue.
Example of a validly-formatted answer (shows the expected form only — it is NOT the correct answer): ""The audio quality of the second segment is poor, with clipping distortion""

Question: What issue does the audio demonstrate","The audio quality of the first segment is poor, with clipping distortion",The audio demonstrates that there is no background noise present during the recording.,0,0.0,The model's answer is completely wrong and irrelevant to the reference answer.,,
BV1tb4y1M7K5_00-01-41_00-01-57,perceptual,music,Signal Layer,Audio Difference Analysis,What changes occurred before and after in the audio?,a sequence of changes involving speed and sound,"The second audio is twice the speed of the first, the fourth audio is six times the speed of the third, and it ends with a piano sound","Listen to the audio and answer the question. Be specific and ground your answer in what you hear.
Answer format: a sequence of changes involving speed and sound.
Example of a validly-formatted answer (shows the expected form only — it is NOT the correct answer): ""The second audio is twice the speed of the first, the fourth audio is six times the speed of the third, and it ends with a piano sound""

Question: What changes occurred before and after in the audio?","The second audio is four times the speed of the first, the fourth audio is eight times the speed of the third, and it ends with a piano sound","The initial segment features rapid electronic beeps that gradually slow down until they stop completely around 0:12 seconds, followed by silence from approximately 0:13 to 0:45 seconds, then a single sustained low-pitched note emerges on a synthesizer-like instrument starting at about 0:46 seconds and continuing through the remainder of the recording.",2,0.5,The model's answer describes changes in the audio but does not mention the speed changes or the piano sound mentioned in the reference answer.,,
BV1gL411j7mL_00-00-02_00-00-31,inferential,music,Perception Layer,Music Theory,Which key is most likely to modulate next,a musical key name,a minor,"Listen to the audio and answer the question. Be specific and ground your answer in what you hear.
Answer format: a musical key name.
Example of a validly-formatted answer (shows the expected form only — it is NOT the correct answer): ""a minor""

Question: Which key is most likely to modulate next",d minor,D major,2,0.5,The model's answer is partially correct as it identifies the key 'D' but incorrectly specifies 'major' instead of 'minor'.,,
BV1nFfoYjE2b_00-03-03_00-03-33,perceptual,music,Perception Layer,Counting and Statistics,How many times does the dotted quarter note appear?,a count of beats,Five times,"Listen to the audio and answer the question. Be specific and ground your answer in what you hear.
Answer format: a count of beats.
Example of a validly-formatted answer (shows the expected form only — it is NOT the correct answer): ""Five times""

Question: How many times does the dotted quarter note appear?",Seven times,Fourteen times,0,0.0,The model's answer of fourteen times is completely wrong compared to the reference answer of seven times.,,
BV1624y1u7Fj_00-00-00_00-00-30,inferential,music,Perception Layer,Temporal Analysis,Please determine approximately where the triplets that have a total duration of one beat appear based on the metronome's rhythm,a time in seconds,Around the 15th second,"Listen to the audio and answer the question. Be specific and ground your answer in what you hear.
Answer format: a time in seconds.
Example of a validly-formatted answer (shows the expected form only — it is NOT the correct answer): ""Around the 15th second""

Question: Please determine approximately where the triplets that have a total duration of one beat appear based on the metronome's rhythm",Around the 19th second,The first set of triplets appears around the 0.2-second mark.,0,0.0,The model's answer is completely wrong as it incorrectly identifies the location of the triplets.,,
BV14P411Z73J_00-00-00_00-00-22,inferential,music,Perception Layer,Counting and Statistics,How many times does the melody descend in total,a count of beats,13 times,"Listen to the audio and answer the question. Be specific and ground your answer in what you hear.
Answer format: a count of beats.
Example of a validly-formatted answer (shows the expected form only — it is NOT the correct answer): ""13 times""

Question: How many times does the melody descend in total",10 times,20 times,0,0.0,The model's answer of 20 times is completely wrong compared to the reference answer of 10 times.,,
BV19x411L7Ff_multi_segment,inferential,music,Perception Layer,Music Theory,"Compare the two audio segments, what improvements have been made in orchestration?",a detailed description of orchestration changes,"The former is better, add ornamentation to the Flute, replace Trombone with double bass, making the sound heavier","Listen to the audio and answer the question. Be specific and ground your answer in what you hear.
Answer format: a detailed description of orchestration changes.
Example of a validly-formatted answer (shows the expected form only — it is NOT the correct answer): ""The former is better, add ornamentation to the Flute, replace Trombone with double bass, making the sound heavier""

Question: Compare the two audio segments, what improvements have been made in orchestration?","The latter is better, replace the Flute part with two different sections of violin, replace Trombone with viola and cello, making phrasing and dynamic changes more apparent and high and low sections balanced","In the second segment, the overall texture has become richer and more layered compared to the first. The strings now play sustained chords rather than simple melodic lines, creating a fuller harmonic backdrop. Brass instruments such as French horns enter later, adding warmth and depth to the middle register. Woodwinds like flutes and clarinets provide delicate counter-melodies that weave through the harmony, enhancing the sense of movement without overwhelming the existing elements. Percussion remains minimal but slightly more present, contributing subtle rhythmic accents that support the phrasing without drawing attention away from the main voices. This combination results in a more cohesive and emotionally resonant orchestral sound.",3,0.75,The model's answer captures some of the orchestration improvements but misses specific instrument replacements mentioned in the reference answer.,,
